line,folktale.ID,transcription,gloss,english,japanese,,
2.27,K7708242UP,nay or un ka sirkerkeri =an wa mun sak no a= kar wa an =an,stream place to/at even NI.ground-scratch =4.S and grass lack and 4.A= make and exist.SG =4.S,I cleaned the ground to the water so that there were no weeds there,沢のところまできれいに地⾯を削って、雑草のないようにした。,,
2.28,K7708242UP,"orano nen i= epakasnu somo ki p ne korka,",then who 4.O= about.APPL-teach.to NEG do NMLZ COP but,Nobody really taught me but,そして、誰に教わったわけでもないのに、,,
2.29,K7708242UP,"cise okari nep mun ne ruwe ne ya oka wa,",house around what grass COP INFR.EV COP Q exist.PL and,"there were some weeds growing around the house,",家のまわりに何の草だか（わからないが）⽣えていても、,,
2.30.,K7708242UP,"a= kar wa a= supa wa a= e wa keraan h_ike a= e,",4.A= gather and 4.A= cook.PL and 4.A= eat and NI.taste-exist.SG one.of 4.A= eat,"I gathered them, made food with them and ate them",それを採って料理して⾷べ、おいしいものは⾷べ、,I ate the delicious ones,
2.31,K7708242UP,"kera isam h_ike a= osurpa,",taste not.exist one.of 4.A= throw.away-TR.PL,and threw away those that weren’t tasty,おいしくないものは捨てて、,,
2.32,K7708242UP,"pirka h_ike a= e kor,",be.good one.of 4.A= eat and,I ate good food,いいものを⾷べていた。,,
2.33,K7708242UP,"sirsak kor orano newaoka parka ta oka,",appearance-summer when/if then those shelf at exist.PL,"When summer came, [I took what] was on the shelves,",夏になると、その棚の上にある、,,
2.34,K7708242UP,"nep ne ruwe ne ya a= eramiskari pa p a= rapte wa wor a= omare,",what COP INFR.EV COP Q 4.A= not.know PL thing/ person 4.A= low.place-INTR.PL-CAUS and water 4.A= enter-CAUS,"although I didn’t know what it was, I took it and put it in water",なんだか知らないものをおろして⽔に漬け、,,
2.35,K7708242UP,a= huraypa wa nea,4.A= wash-TR.PL and that --,and washed it,洗って、,,
2.36,K7708242UP,newaoka kina ne ya a= kopoye wa a= supa wa a= e kor an =an ayne,those grass COP Q 4.A= with.APPL-mix-TR.SG and 4.A= cook.PL and 4.A= eat and exist.SG =4.S finally,"I mixed it with mountain vegetables and cooked it,",⼭菜を混ぜて煮て⾷べているうちに、,,
2.37,K7708242UP,"tantane pon poro =an nennen ruwe ne a p,",gradually be.small be.big/old =4.S various INFR.EV COP PERF.SG but,and grew up,だんだん⼤きくなったところ、,,
2.38,K7708242UP,"esoyne aynu humas kus soyne =an ruwe ne akus,",head.POSS.PF-outside-COP human sound/feeling-stand.SG because outside-COP =4.S INFR.EV COP then,I heard voices outside so I went to see,外で⼈の声がするので外に出てみると、,,
2.39,K7708242UP,hure kosonte utomciwre,red/pink robe REC-NI.middle-stick-CAUS,[It was a young man] wearing a red garment,⾚い⼩袖を着た（「⼩袖」というのは、⼩さめな袖の着物。⽴派な⾐装であることを⽰す）,,
2.40.,K7708242UP,"okkaypo sekor a= ye p ne noyne an,",man-DIM QUOT 4.A= say/tell thing/person COP look.as exist.SG,It was a young man [wearing a red garment],若い男というものらしいものがいた。,,
2.41,K7708242UP,"aynu nukar ka a= eramiskari p,",human see even 4.A= not.know but,"I had never seen a person,",私は⼈間を⾒たことがないのだが、,,
2.42,K7708242UP,"okkaypo sekor a= ye p ne noyne an okkaypo soy ta an h_i kusu,",man-DIM QUOT 4.A= say/tell thing/person COP look.as exist.SG man-DIM outside at exist.SG NMLZ because,but a young person who seemed to be a so‐called young man was standing outside,若い男というものらしい若者が表にいたので、,,
2.43,K7708242UP,"nep ka a= ye somo ki no ahun =an h_ine an =an ruwe ne akus,",what even 4.A= say/tell NEG do and inside.house-INTR.SG =4.SG and exist.SG =4.S INFR.EV COP then,"I went back inside without saying anything,",何も⾔わずに引っ込んで家の中にいると、,,
2.44,K7708242UP,i= os ahun h_ine i= erankarap ru[we ne],4.O= back inside.house-INTR.SG and 4.O= to.APPL-greet INFR.EV COP,and he followed me in and greeted me,後から⼊ってきて私に挨拶をした。,,
2.45,K7708242UP,"korka aynu nukar ka a= eramiskari p ne korka i= erankarap yakka,",but human see even 4.A= not.know NMLZ COP but 4.O= to.APPL-greet although,"I had never seen a human, but yet he greeted me",⼈間などみたことがなかったのに挨拶をされたのだが、,,
2.46,K7708242UP,ene a= ramu h_i ka isam no,like.this 4.A= think thing/place/time even not.exist and,I did not know what to think,どうしていいものやらわからない。,,
2.47,K7708242UP,"an =an hine ora suke =an h_ine a= ipere akusu,",exist.SG =4.S and then cook =4.S and 4.A= eat-CAUS then,I prepared dinner and served him,⾷事の⽀度をして⾷べさせると、,,
2.48,K7708242UP,"i= kasuy ipe hine rewsi =an akusu,",4.O= help/with? eat and lodge =4.S then,He ate with me and we spent the night,私と⼀緒に⾷べてその晩は泊まった。,,
2.49,K7708242UP,"ora neun ka arpa p ne kunak a= ramu a p,",then where even go.SG thing/person COP going/expected/should.COMP 4.A= think PERF.SG but,"I thought he was going somewhere, but",どこかに⾏くのだろうと思っていたが、,,
2.50.,K7708242UP,neun ka arpa ka somo ki no,where even go.SG even NEG do and,he did not go anywhere,どこにも⾏きもしないで、,,
2.51,K7708242UP,"ekimne akusu,",go.to.the.mountains then,"He said he was going to the mountains to hunt,",狩に⼭に⾏くと,,
2.52,K7708242UP,"ora nep ne ruwe ne se wa iwak,",then what COP INFR.EV COP shoulder and return,and came back with something on his back,何やら背負って戻ってくる。,,
2.53,K7708242UP,"tap anak yuk sekor a= ye p ne ruwe ne wa,",this TOP deer QUOT 4.A= say/tell thing/person COP INFR.EV COP and,“This is a deer,「これはシカというもので、,,
2.54,K7708242UP,tap neno a= kar wa a= supa wa a= e p ne na,this as 4.A= do and 4.A= cook.PL and 4.A= eat NMLZ COP SGST,"This is how you fix it, cook it and eat it",こんなふうに処理して料理して⾷べるものだよ」,”,
2.55,K7708242UP,"sekor hawean kor,",QUOT voice-POSS-exist.SG and,he said,と⾔いながら、,,
2.56,K7708242UP,ene a= supa kuni i= epakasnu hine,like.this 4.A= cook.PL should/going/surely.COMP 4.O= about.APPL-teach.to and,He taught me how to cook the deer,どうやって料理するか教えてくれて、,,
2.57,K7708242UP,supa hine i= ere akusu keraan,cook.PL and 4.O= eat-CAUS then NI.taste-ecist.SG,He cooked the dear and fed to me,料理して⾷べさせてくれたら、おいしかった。,It was very tasty,
2.58,K7708242UP,tanepo pirka ipe a= ki p ne kus keraan hine ipe =an,now-DIM be.good eat 4.A= do NMLZ COP because NI.taste-exist.SG and eat =4.S,"I ate delicious deer for the first time, so I [really] enjoyed the food",いいものを初めてを⾷べたので、おいしく⾷事をあじわった。,,
2.59,K7708242UP,"orano neun ka arpa ka somo ki no,",then where even go.SG even NEG do and,The man did not go anywhere,そして彼はどこにも⾏かずに、,,
2.60.,K7708242UP,"orano neno ekimne kor,",then same.as go.to.the.mountains and,He went hunting,同じように狩に⾏って、,,
2.61,K7708242UP,"yuk ne ciki kamuy ne ciki nuwe koan wa,",deer COP if bear COP if abundant.game to.APPL-exist.SG and,and came back with many deer and bears,シカやクマをたくさん捕ってきて,,
2.62,K7708242UP,tap neno kamuy anak a= hopunpare.,this as bear TOP 4.A= bottom.PF-lift-TR.PL-CAUS,“This is how you “send” a bear,「クマはこのように送るものなのだ。,,
2.63,K7708242UP,tap anak yuk sekor a= ye p ne,this TOP deer QUOT 4.A= say/tell thing/person COP,This is a deer,これは⿅だ。,,
2.64,K7708242UP,tap neno a= hopunpare,this as 4.A= bottom.PF-lift.TR.PL-CAUS,"This is how you ""send"" it",それはこのように送るものなのだ。,,
2.65,K7708242UP,isepo ka cironnup ka tap neno tap neno a= hopunpare p ne na,hare even fox even this as this as 4.A= bottom.PF-lift-TR.PL-CAUS NMLZ COP SGST,"Rabbits and fox are sent in such ways”,",ウサギもキツネもこれこれこういうふうに送るものなのだ」,,
2.66,K7708242UP,sekor hawean kor i= epakasnu kor oka =an,QUOT voice-POSS-exist.SG and 4.O= about.APPL-teach.to and exist.PL =4.S,he told me as he taught me,と⾔いながら教えてくれていた。,,
2.67,K7708242UP,ora aynu ene iki pa kuni i= epakasnu,then human like.this APASS-do PL should/going/surely.COMP 4.O= about.APPL-teach.to,Then he taught me what people should do,そして、⼈のすべきことを教えてくれた。,,
2.68,K7708242UP,nen a= nukar ka somo ki p ne ka,who 4.A= see even NEG do MNLZ COP even,"Even though I was not going to meet anyone,",誰に会うというわけでもないが、,,
2.69,K7708242UP,"a= sapaha kar_ ne ya a= nanuhu kar_ ne ya ki wa,",4.A= head-POSS make COP Q 4.A= face-POSS make COP Q do and,he cut my hair and put on makeup,髪を刈ってくれ、顔を化粧してくれた。,,
2.70.,K7708242UP,"aynu ene iki pa kuni,",human like.this APASS-do PL should/going/surely.COMP,"He taught me what humans should do,",⼈のすべきことを、,,
2.71,K7708242UP,aynu anak tap neno tap neno iki pa p ne na.,huma TOP this as this as APASS-do PL NMLZ COP SGST,"“This is how humans do it”,",「⼈間はこのように、このようにするものなのだ」,,
2.72,K7708242UP,sekor hawean kor i= epakasnu kor orano oka =an ruwe ne,QUOT voice-POSS-exist.SG and 4.O= about.APPL-teach.to and exist.PL =4.S INFR.EV COP,he taught me saying so. We lived on in this way,と⾔いながら教えてくれ、そうやって暮らしていた。,,
2.73,K7708242UP,"pak ison kur isam kur_ ne p ne kusu,",till take.a.lot.of.game person not.exist person COP NMLZ COP because,"He was a very good hunter,",とても狩の上⼿な⼈だったので、,,
2.74,K7708242UP,"nep a= e rusuy ka somo ki no,",what 4.A= eat DESID even NEG do and,so I never had to worry about what to eat,何を⾷べたいとも思わず、,,
2.75,K7708242UP,"hoka unno kirpu orastomnemne korka,",flame to/till fat downward-hang? but,"He left the fat hanging over the hearth,",炉の⽕の上に脂⾝をぶらさげていたが、,,
2.76,K7708242UP,"aynu ne ruwe he ne ya nep ne ruwe ne ya,",human COP INFR.EV Q COP Q what INFR.EV COP Q,but [I do not know] whether he was a human or not,彼は⼈間なのか何なのか。,,
2.77,K7708242UP,"mipihi yakka somo ki no ramma uneno kane mipihi an pe ne korka,",robe-POSS although NEG do and as.usual  REG-same.as somewhat robe-POSS exist.SG NMLZ COP but,"He never changed his clothes, and always wore the same things",着るものも変えずにいつも同じものを着ているが、,,
2.78,K7708242UP,"nen ka i= ye hene i= kar hene ki ka somo ki p ne kus,",what even 4.O= say/tell for.example 4.O= do for.example do even NEG do NMLZ COP because,"He never said or did anything [bad] to me,",何も私に（変なことを）⾔ったりしたりしないので、,,
2.79,K7708242UP,"a= sitoma ka somo ki no,",4.A= be.afraid.of even NEG do and,so I did not feel afraid of him,恐ろしくも思わず、,,
2.80.,K7708242UP,"a= yupi kor kur [ne] an =an pe ne a p,",4.(A)= older.brother-POSS have person as exist.SG =4.S NMLZ COP PERF.SG but,"I treated him as a brother,",兄として遇し、,,
2.81,K7708242UP,"a= yupi kor kur_ ne y_ak ye p ne kusu ki kor oka =an pe ne ruwe ne a p,",4.(A)= older.brother-POSS have person COP COMP say/tell thing/person COP because do and exist.PL =4.S thing/person COP INFR.EV COP PERF.SG but,"and he said brotherly things, so we continued living in this way",兄のようなものだと⾔うので、そのようにして暮らしていた。,,
2.82,K7708242UP,"sineanta, tane sitcuk kopak an h_ine,",sometimes already appearance-autumn toward exist.SG and,"One day when autumn was near,",もはや秋も近づいてきたある⽇、,,
2.83,K7708242UP,"rapokke sineanto sini hine ora,",during-place oneday rest and then,the man stayed home (instead of going to the mountains),(⼭に⾏かずに)家にいて、,,
2.84,K7708242UP,"a= kor pon menoko, somo i= ewtanne rusuy ruwe h_e an?",4.A= have be.small woman NEC 4.O= with.APPL-partner-COP DESID INFR.EV Q exist.SG,"“My young girl, won’t you be my wife?”,",「私の娘さんよ、私と夫婦になる気はないか？」,,
2.85,K7708242UP,"sekor hawean korka,",QUOT voice-POSS exist.SG but,he said,と⾔うのだが、,,
2.86,K7708242UP,nep ka a= ye ka somo ki no soyne =an akus,what even 4.A= say/tell even NEG do and outside-COP =4.S then,I went outside without responding,私が何も⾔わずに外に出ると、,,
2.87,K7708242UP,okake ta ay kar kor an hawe an ne a p soyne =an hine,end/behind-place at arrow make and exist.SG REP.EV exist.SG COP PERF.SG but outside-COP =4.S and,He was making an arrow so I went outside,その後⽮を作っているというので外へ出て、,,
2.88,K7708242UP,nina =an hine nisike =an,gather.firewood =4.S and hump.firewood =4.S,to get firewood and came home with firewood on my back,薪採りをして薪を背負って帰ってきた。,,
2.89,K7708242UP,"re pa ka an kor ora hawean ne p ne kusu,",three year even exist.SG when/if then voice-POSS-exist.SG COP NMLZ COP because,"We had been living together for three years, so maybe that’s why he asked,",3年も⼀緒に暮らしてから、そんなことを⾔い出したのだが、,,
2.90.,K7708242UP,nisike =an h_ine hosipi =an,hump.firewood =4.S and return =4.S --,but I came home with firewood on my back,薪を背負って帰ってきた。,,
2.91,K7708242UP,"ponno upas … ponno ponno upas as as kane hine,",be.little-ADV snow -- be.little-ADV be.little-ADV snow stand.SG stand.SG doing.so and,"Snow was fluttering in the sky,",雪がちらちらと降っていたのだが、,,
2.92,K7708242UP,"nea i= ekari hure poro seta hoyupu, ek",that 4.O= toward red/pink be.big/old dog run come.SG,and a big red dog came running toward me,私のほうに⼤きな⾚い⽝が⾛ってきて、,,
2.93,K7708242UP,orano i= okari mik kor i= okari earkinne a= eohaysitoma,then 4.O= around bark and 4.O= around very 4.A= about.APPL-be.very.scared,The dog yelped and ran around me,吠えながら私のまわりをまわるので、とてもおそろしく思った。,I was very scared,
2.94,K7708242UP,"seta ka nep ka isam pe ne a p,",dog even what even not.exist NMLZ COP PERF.SG but,There were no dogs living around us,⽝などここらへんにいないのに、,,
2.95,K7708242UP,hinak wa ek seta ene iki h_i an?,where from come.SG dog like.this APASS-do NMLZ exist.SG,“Where did that dog come from?”,「どこから来た⽝だろう？」,,
2.96,K7708242UP,sekor yaynu =an,QUOT RELF-hear =4.S,I thought,と思い、,,
2.97,K7708242UP,"ka ta(?) somo turano an =an pe seta ne hine,",top at? NEG together.with-ADV exist.SG =4.S thing/person dog COP and,I had never spent any time with a dog…,⽝など⼀緒にいたこともないので、,,
2.98,K7708242UP,aynu ne yaykar wa ne ya?,human as REFL-make and COP Q,“Is it posing as a human?”,「⼈間に化けているのでは？」,,
2.99,K7708242UP,sekor kewtum or_ ta yaynu =an,QUOT spirit place at REFL-hear =4.S,I wondered in my heart,と⼼の中で思った。,,
2.100.,K7708242UP,"seta ka nep ka isam pe,",dog even what even not.exist but,"There were no dogs in the area,",⽝などこのへんにはいないのだが、,,
2.101,K7708242UP,"konto sikrapparappa =an akusu oar isam h_ine,",then NI.eye-flap-TR.PL-flap-TR.PL =4.S then completely not.exist and,"and within the blink of an eye, it was gone",まばたきをすると姿を消していた。,,
2.102,K7708242UP,"oraun cise soy ta ek =an ruwe ne akusu,",then house outside at come.SG =4.S INFR.EV COP then,"When I made it to the front of my home,",そして家の前に来ると、,,
2.103,K7708242UP,"sem or un upas ponno ponno upas as pe ne kusu rerap(?) as pe ne kus,",porch place to/at snow be.little-ADV be.little-ADV snow stand.SG NMLZ COP because wind? stand.SG NMLZ COP because,the snow was falling near the porch,⼟間のところまで雪が少し降り、⾵（？）が吹き込んでいたので、,The wind was blowing the snow in,
2.104,K7708242UP,sem apapa ta seta ru sitcininanina korka,porch door-mouth at dog track/path NI.ground-RES-knead-knead? but,I could see many dog footprints in front of the porch door,⼟間の⼾の前に⽝の⾜跡がごちゃごちゃとついているのだが、,,
2.105,K7708242UP,"ora ekuskonna ahun ka a= etoranne kusu,",then suddenly inside.house-INTR.SG even 4.A= about APPL-be.lazy because,I was scared to enter the house,いきなり家に⼊るのも気がすすまなかったので、,,
2.106,K7708242UP,hine ora ipuyaroposore =an akusu ay kar kor an,and then APASS-NI.window-bottom.POSS.PF-pass-TR.SG.-CAUS =4.S then arrow make and exist.SG,"so I peeked in from the window, and he was making an arrow",窓からのぞいてみると、⽮を作っていた。,,
2.107,K7708242UP,"suy aynu ne hine ki kor an h_i kusu,",again human COP and do and exist.SG NMLZ because,"He had transformed into a human again and was making an arrow,",また⼈間になって⽮を作っていたので、,,
2.108,K7708242UP,ora soy ta a= nisike a= esirkopaste hine,then outside at 4.(A)= firewood-pack 4.A= head.POSS.PF-NI.appearance-lean.on and,"so I left the firewood standing at the front door,",表に薪の荷を⽴てかけて、,,
2.109,K7708242UP,"nep ka a= ye a= ye pekor hawean =an kor an =an ayne ahun =an korka,",what even 4.A= say/tell 4.A= say/tell as.if voice-POSS-exist.SG =4.S and exist.SG =4.S finally inside.house-INTR.SG =4.S but,"and came in pretending to mutter something, and then entered the house",何か⾔うふりをしながらいて、それから家に⼊っていったが、,,
2.110.,K7708242UP,"a= sitoma katun ki ka. yakka wen wa kusu,",4.A= be.afraid.of shape-belong.to do even -- although be.bad and because,"I didn’t want to appear scared,",おそろしがっている様⼦を⾒せるのもまずいので、,,
2.111,K7708242UP,a= sitoma katun ki ka somo ki no ora suke =an,4.A= be.afraid.of shape-belong.to do even NEG do and then cook =4.S,"so without showing that I was frightened, I prepared dinner",そういうそぶりもせずに⾷事のしたくをした。,,
2.112,K7708242UP,nen ka suy ipe =an,what even again eat =4.S,We ate dinner together again,そしてまた⾷事をした。,,
2.113,K7708242UP,orowa kuneywa ekimne hine isam,then morning go.to.the.mountains and not.exist,"When morning came, the man went hunting",そして、朝になると狩に⾏ってしまった。,,
2.114,K7708242UP,ekimne hine isam ruwe ne. okake ta an =an akusu,go.to.the.mountains and not.exist INFR.EV COP end/behind-place at exist.SG =4.S then,I stayed at home while he was hunting,狩に⾏った後に家にいると、,,
2.115,K7708242UP,"tononoski paki peka esoyne aynu hum as kusu soyne =an akus,",noon time? to head.POSS.PF-outside-COP human sound stand.SG because outside-COP =4.S then,"Around noon, I could hear someone approaching the house so I went outside",昼ごろになって外で⼈の来た⾳がするので表に出てみると、,,
2.116,K7708242UP,konto tanpe or_ ta anak aynu sekor a= ye p ne noyne an,then this-thing/person place at TOP human QUOT 4.A= say/tell thing/person COP look.as exist.SG,"This time, there was a person who looked like a human",今度は「⼈間」という様⼦の、,,
2.117,K7708242UP,"okkaypo ka utarpake sekor a= ye p ne noyne okkaypo, soy ta an h_ine,",man-DIM even kin/people-head QUOT 4.A= say/tell thing/person COP look.as man-DIM outside at exist.SG and,A young man who appeared to be a superior of the “humans” stood outside the door,⼈の上に⽴つという感じの若者が外にいた。,,
2.118,K7708242UP,"ora nep ka ye somo ki no ahun =an akus,",then what even say/tell NEG do and inside.house-INTR.SG =4.S then,"I went back inside without saying anything,",何も⾔わずに引っ込むと、,,
2.119,K7708242UP,"i= os ahun h_ine i= erankarap ruwe ne hine,",4.O= back inside.house-INSTR.SG and 4.O= to.APPL-greet INFR.EV COP and,and he followed me in and greeted me,後から⼊ってきて挨拶をし、,,
2.120.,K7708242UP,"ora i= kowepekennu hi kus,",then 4.O= to.APPL-ask NMLZ because,He asked about me,私のことを尋ねるので、,,
2.121,K7708242UP,"tapne kane aynu ne ruwe he ne ya nep ne ruwe ne ya a= erampewtek,",this-as like/as human COP INFR.EV Q COP Q what COP INFR.EV COP Q 4.A= not.know,"“I don’t know how it happened, and I don’t know whether he’s a human or not,",「これこれこういうわけで、⼈間であるのか何であるのかわからない、,,
2.122,K7708242UP,"hure kosonte utomciwre okkaypo ek wa,",red/pink robe REC-NI.middle-stick-CAUSE man-DIM come.SG and,"but a young man wearing a red garment appeared,",⾚い⼩袖を着た若者がやってきて、,,
2.123,K7708242UP,"tane re pa ka turano an =an korka,",already three year even together.with-ADV exist.SG =4.S but,and we have been living together for three years,もう3年も⼀緒にいるのですが、,,
2.124,K7708242UP,"nen ka i= ye ka somo ki no,",what even 4.O= say/ tell even NEG do and,"He has told me nothing [about himself],",私には何も素性を語らず、,,
2.125,K7708242UP,aynu ene iki pa kuni i= epakasnu,human like.this APASS-do PL should/going/surely.COMP 4.O= about.APPL-teach.to,but he told me all about things which humans should do,⼈間のすべきことを教えてくれました。,,
2.126,K7708242UP,a= nanuhu ka kar a= sapaha ka kar,4.(A)= face-POSS even make 4.(A)= head-POSS even make,He prepared my face and cut my hair,顔もきれいにしてくれ、頭も刈ってくれました。,,
2.127,K7708242UP,"sorekusu ne ene iki wa an pe a= ne ru an h_i ka a= erampewtek no,",exactly what like.this APASS-do and exist.SG thing/person 4.A= COP INFR.EV exist.SG thing/place/time even 4.A= not.know and,"Even though I did not know who I was,",それこそ⾃分がどういうものであるかもわからず、,,
2.128,K7708242UP,so noski pakno tumun an wa soy a= o ne ya,sitting.place middle till-ADV dust exist.SG and outside 4.A= put sth.on.sth COP Q,"I got rid of the trash that was piled in the middle of the floor,",床の真ん中までごみがあるのを外に出したり、,,
2.129,K7708242UP,sintoko ne ya soy a= o wa a= huraypa,container COP Q outside 4.A= put sth.on.sth and 4.A= wash-TR.PL,and even took lacquerware containers outside and washed them,シントコも外に出して洗ったりしました。,,
2.130.,K7708242UP,"ene teeta o ikiri an h_i neno a= kar wa an =an wa an =an akus,",like.this long.ago enter.somewhere/ride/exist row/pile-POSS exist.SG thing/place.time as 4.A= make and exist.SG =4.S and exist.SG =4.S then,I made the treasure shelf as it used to be and I lived,かつての宝壇と同じ姿にととのえて、暮らしていると、,,
2.131,K7708242UP,"oro ta ahun h_ine an pe ne h_ine,",place-POSS at inside.house-INTR.SG and exist.SG NMLZ COP and,Then he came,に彼がやってきて、,,
2.132,K7708242UP,"tane re pa ka an a p,",already three year even exist.SG PERF.SG but,and it has been three years,もう3年になるのですが、,,
2.133,K7708242UP,"numan ne sini hine,",yesterday as? rest and,"Yesterday when we were resting at home,",昨⽇家で休んでいるとき、,,
2.134,K7708242UP,uewtanne =an ciki mak ne ruwe an?',REC-with.APPL-NI.partner-COP =4.S if how COP INFR.EV exist.SG,"“Shall we get married?”,",『おれたち結婚してはどうだろう？』,,
2.135,K7708242UP,"sekor hawean korka,",QUOT voice-POSS-exist.SG but,he said,というのですが、,,
2.136,K7708242UP,"tasaitak =an h_ene ki ka somo ki no,",exchange-talk =4.S for.example do even NEG do and ,But without responding,返事もせずに,,
2.137,K7708242UP,ora nina =an kusu soyne =an h_ine,then gather.firewood =4.S for outside-COP =4.S and,I went outside to get firewood,薪を採りに出て、,,
2.138,K7708242UP,"nina =an h_ine a= se h_ine iwak =an akus,",gather.firewood =4.S and 4.A= shoulder and return =4.S then,"When I came home with the firewood on my back,",薪を採って背負って帰ってくると、,,
2.139,K7708242UP,"seta ka nep ka isam pe,",dog even what even not.exist but,"even though there are no dogs around,",⽝も何もいないはずなのに、,,
2.140.,K7708242UP,"poro hure seta i= ekari arpa,",be.big/old red/pink dog 4.O= toward go.SG,a large red dog came at me,⼤きな⾚⽝が私に向かってやってきて、,,
2.141,K7708242UP,orano i= ekari i= emik kor terketerke,then 4.O= toward 4.O= to.APPL-bark and jump-jump,The dog came jumping toward me while yelping,吠えながら私のほうに跳ねてくるのです。,,
2.142,K7708242UP,ne rapokkehe ponno sikrapparappa =an h_e ki akusu,this/that during-place-POSS be.little-ADV NI.eye-flap-TR.PL-flap-TR.PL =4.S Q do then,Then I just blinked my eyes,そして、ちょっとまばたきか何かすると、,,
2.143,K7708242UP,"oar isam h_ine,",completely not.exist and,and he was gone,姿が⾒えなくなりました。,,
2.144,K7708242UP,"oraun ek =an akus upas ka ta nep ne kusu seta ru sitcininanina h_ine,",then come.SG =4.S then snow top at what COP because dog track/path NI.ground-RES-knead-knead? and,"When I returned home, for some reason there were many dog footprints on the snow",戻ってくると、雪の上にどういうわけか⽝の⾜跡がごちゃごちゃとついていて、,,
2.145,K7708242UP,ek =an akus sem or_ ta ka seta ru an yakun anakne,come.SG =4.S then porch place at even dog track/path exist.SG if/then TOP,"When I made it home, I found the dog’s footprints in front of the porch",家のところまで来ると、⼟間のところにも⽝の⾜跡があるということは、,,
2.146,K7708242UP,aynu ne ru somo ne kuni a= ramu h_i kusu,human COP INFR.EV NEG COP should/going/surely.COMP 4.A= think NMLZ because,"That’s when I thought that the man was not a human,",あの男は⼈間ではないのだろうと思ったので、,,
2.147,K7708242UP,"oraun ahun =an ka nisap ahun ka a= etoranne kus,",then inside.house-INTR.SG =4.S even suddenly inside.house-INTR.SG even 4.A= about.APPL-be.lazy,so I hesitated about entering the house,いきなり家の中に⼊るのもためらわれたので、,,
2.148,K7708242UP,"ay kar kor an pe kus,",arrow make and exist.SG NMLZ because,He was making an arrow,彼は⽮を作っていたものですから、,,
2.149,K7708242UP,"soy ta nep ka a= ye a= ye pekor hawean kor,",outside at what even 4.A= say/tell 4.A= say/tell as.if voice-POSS exist.Sg and,"so pretending to mutter something outside,",外でなにやら⾔うふりをして、,,
2.150.,K7708242UP,"ni a= esirkopaste hine a= ki kor an =an ayne ahun =an korka,",firewood 4.A= head.POSS.PF-NI.appearance-lean.on and 4.A= do when/if exist.SG =4.S finally inside.house-INTR.SG =4.S but,"I put the firewood up before going inside, but",薪を⽴てかけたりしていて、それから家の中に⼊りました。けれど、,,
2.151,K7708242UP,"a= sitoma katun ki yakka wen wa kus,",4.A= be.afraid.of shape-belong.to do although be.bad and because,"I thought it wouldn’t be good to show him that I was scared, so",おそろしがっている様⼦を⾒せるのもまずいので、,,
2.152,K7708242UP,"a= sitoma katun ki ka somo ki no suke =an h_ine,",4.A= be.afraid.of shape-belong.to do even NEG do and cook =4.S and,I made dinner while trying not to look frightened,そういうそぶりも⾒せずに料理を作りました。,,
2.153,K7708242UP,"nen ka i= sisitomare hene ki ka somo ki p ne kus,",what even 4.O= RELF-fear-CAUS for.example do even NEG do NMLZ COP because,"He didn’t do anything to frighten me,",彼のほうは私をこわがらせるようなことはしませんので、,,
2.154,K7708242UP,"suke =an h_ine ukasuy ipe =an tek,",cook =4.S and REC-help/with? eat =4.S momentary,"so I cooked and we ate dinner together quickly,",料理を作ってさっと⼀緒に⾷べ、,,
2.155,K7708242UP,esir ka a= ki hine ora ekimne hine isam ruwe ne,just.now even 4.A= do and then go.to.the.mountains and not.exist INFR.EV COP,and he just headed off to the mountains,さっきもそうして彼は⼭に⾏ってしまいました」,”,
2.156,K7708242UP,"sekor hawean =an ruwe ne akus,",QUOT voice-POSS-exist.SG =4.S INFR.EV COP then,When I told,そう⾔うと、,,
2.157,K7708242UP,nea okkaypo ene hawean h_i,that man-DIM like.this voice-POSS-exist.SG thing/place/time,the young man he answered,その若者はこう⾔った。,,
2.158,K7708242UP,Yupet emko kor nispa a= ona an h_ine,Yupet upper have rich.man 4.(A)= father.POSS exist.SG and,"“My father is an elder at Yupet Upstream,",「私の⽗親はユペッの上流の⻑者で、,,
2.159,K7708242UP,"a= yupihi tun an, a= turesi tun an h_ine oka =an wa,",4.(A)= older.brother-POSS two-person.CLF exist.SG 4.(A)= younger.sister-POSS two-person.CLF exist.SG and exist.PL =4.S and,and I have two older brothers and two younger sisters,兄がふたり、妹がふたりいました。,,
2.160.,K7708242UP,a= ponturesihi ne ene iki wa isam h_i ka a= erampewtek,4.(A)= small-younger.sister-POSS what like.this APASS-do and not.exist NMLZ even 4.A= not.know,"However, I don’t know why but my younger sister went missing",ところが、下の妹が、どうしたことかいなくなってしまいました。,,
2.161,K7708242UP,orowano a= hunara yakka wen,then-ADV 4.A= search although be.bad,"I have been looking for her, but cannot find her",それから探したのですが⾒つかりません。,,
2.162,K7708242UP,"ora seta poronno okay pe ne a p,",then dog be.big-EP-ADV exist.PL NMLZ COP PERF.SG but,"We had many dogs,",すると、私たちは⽝をたくさん飼っていて、,,
2.163,K7708242UP,"oro ta hure poro seta a= kor pe ne a p,",place-POSS at red/pink be.big/old dog 4.A= have NMLZ COP PERF.SG but,and one of them was a large red dog,その中に⾚い⼤きな⽝がいたのですが、,,
2.164,K7708242UP,konto seta utar wenkoykikar wa,then dog PL bad-attack-make? and,The dogs had a big fight,⽝たちが⼤喧嘩をして、,,
